"Range" "Sequential" "Async (Batch Size 16)" "Async (Batch Size 2)" "Async (Batch Size 32)" "Async (Batch Size 4)" "Async (Batch Size 8)" "Cuda - Coarse: 1 warp" "Cuda - Coarse: 16 warps" "Cuda - Coarse: 32 warps" "Cuda - Fine: 1 warp" "Cuda - Fine: 16 warps" "Cuda - Fine: 32 warps" "Cuda - Hybrid: 1 warp" "Cuda - Hybrid: 16 warps" "Cuda - Hybrid: 32 warps" "Omp (Dynamic, 1)" "Omp (Dynamic, 10)" "Omp (Static, 1)" "Omp (Static, 10)" 
6100    0.0624570282    0.1569314797    0.0760612148    0.1801552615    0.0576632015    0.1499269817    0.0021648355    0.0025544895    0.0034659610    0.0210163348    0.0216706940    0.0245779218    0.0014195703    0.0015202170    0.0017131746    0.0112147677    0.0112751541    0.0115106054    0.0115197064 
6200    0.0643502502    0.1597799147    0.0779763020    0.1833438479    0.0587290536    0.1528001742    0.0024943201    0.0027986869    0.0038003005    0.0231272485    0.0239803051    0.0271303283    0.0015887353    0.0016951822    0.0019042563    0.0116447138    0.0116975467    0.0120407967    0.0122907966 
6300    0.0663451075    0.1626411526    0.0797407151    0.1868311927    0.0598745374    0.1553525405    0.0023287330    0.0026588342    0.0036007073    0.0223976482    0.0231015466    0.0262439169    0.0015478027    0.0016574137    0.0018541888    0.0121057387    0.0121317612    0.0121727221    0.0124258670 
6400    0.0693323492    0.1649077762    0.0821670984    0.1899765770    0.0613226920    0.1577609157    0.0023164072    0.0025586327    0.0034944832    0.0222016790    0.0227470339    0.0258378087    0.0015430682    0.0016438084    0.0018428225    0.0128511683    0.0127377747    0.0126617556    0.0136928211 
6500    0.0708115504    0.1690646049    0.0833501806    0.1923091646    0.0628380588    0.1632764124    0.0023656281    0.0025821541    0.0034876826    0.0224743371    0.0231531083    0.0266092738    0.0015860968    0.0016902290    0.0018854044    0.0129925622    0.0131696623    0.0139051984    0.0129787614 
6600    0.0734599715    0.1711884044    0.0850035012    0.1955376049    0.0639079785    0.1660327316    0.0024030776    0.0028421197    0.0034914628    0.0228263967    0.0234628610    0.0266887637    0.0016280572    0.0017330772    0.0019344547    0.0132244400    0.0133607508    0.0138827237    0.0136159917 
6700    0.0750650122    0.1734012858    0.0871349693    0.1987442539    0.0650873779    0.1655415050    0.0024332131    0.0028425355    0.0034882081    0.0232272263    0.0238073744    0.0270773996    0.0016744700    0.0017780078    0.0019817219    0.0137437342    0.0137958368    0.0139033141    0.0137495947 
6800    0.0772293071    0.1753800174    0.0889335231    0.2024407229    0.0671623172    0.1675659339    0.0025032975    0.0028495600    0.0034862456    0.0236735035    0.0242064480    0.0275691572    0.0017220295    0.0018216209    0.0020325733    0.0140920496    0.0141685076    0.0144670436    0.0149634040 
6900    0.0797820365    0.1781736662    0.0907756104    0.2046502238    0.0677243180    0.1704125062    0.0025298114    0.0028454542    0.0034887714    0.0239461879    0.0245450910    0.0279112373    0.0017699766    0.0018724378    0.0020850074    0.0145065154    0.0143875907    0.0148421147    0.0148395590 
7000    0.0821575219    0.1810232635    0.0928292652    0.2079154218    0.0691110538    0.1729494781    0.0025903746    0.0028322339    0.0035638727    0.0243277717    0.0248868408    0.0284699856    0.0018123275    0.0019290702    0.0021331315    0.0148428722    0.0148239187    0.0149809592    0.0154142372 
7100    0.0845293110    0.1842662982    0.0940722535    0.2107799690    0.0706268127    0.1759099607    0.0026245456    0.0031047503    0.0040085835    0.0246819847    0.0252462532    0.0287796103    0.0018620908    0.0019670322    0.0021866817    0.0152416165    0.0152093288    0.0159439130    0.0156324231 
7200    0.0864264852    0.1868276190    0.0963889901    0.2136286067    0.0715960480    0.1779757807    0.0027192726    0.0031409612    0.0040633927    0.0250386564    0.0256125165    0.0291698393    0.0019033099    0.0020150981    0.0022348771    0.0157464326    0.0156983143    0.0161607414    0.0167828534 
7300    0.0893962537    0.1898762522    0.0984408177    0.2170631436    0.0731883458    0.1849439615    0.0028100133    0.0031927945    0.0041719334    0.0259749845    0.0265495435    0.0303056086    0.0019963613    0.0021134388    0.0023420289    0.0159919953    0.0160887942    0.0166437714    0.0168231317 
7400    0.0917625788    0.1917599411    0.1001913683    0.2198583457    0.0748623944    0.1876524422    0.0027989163    0.0031479948    0.0040652869    0.0257936993    0.0264107771    0.0300598168    0.0019982716    0.0021125816    0.0023390449    0.0164489913    0.0169606180    0.0169352639    0.0172098864 
